county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
leon,08/19/2026,,110250T0040,26-0023,2024-000005-00,,4012 BRANDON HILL DR,,,153986.4,268237.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1512015&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=110250T0040,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,121905B0170,26-0026,2024-000654-00,,"6709 VISALIA PL, TAL, FL- 32317",,,123734.65,225172.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511632&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=121905B0170,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,2115350000120,26-0028,2024-001599-00,,"3324 N MONROE ST, TAL, FL- 32303",,,30606.61,497847.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511825&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=2115350000120,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,2116080000110,26-0034,2024-001615-00,,"3108 HUNTINGTON WOODS BLVD, TAL, FL- 32303",,,7716.54,98448.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511829&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=2116080000110,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,2116080000150,26-0035,2024-001617-00,,"3128 HUNTINGTON WOODS BLVD, TAL, FL- 32303",,,6253.06,76089.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511830&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=2116080000150,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,211718E0440,26-0037,2024-001648-00,,4546 WIMBLETON CT,,,13995.55,200507.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511832&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=211718E0440,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,2122200190000,26-0039,2024-001816-00,,1928 HARTSFIELD RD,,,11199.26,152051.0,Canceled per County,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511833&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=2122200190000,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,212224A0140,26-0040,2024-001820-00,,2505 NUGGET LN,,,9110.74,123802.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511856&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=212224A0140,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,2125202240000,26-0044,2024-001948-00,,"1309 GIBBS DR, TAL, FL- 32303",,,6243.27,77422.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511857&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=2125202240000,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
leon,08/19/2026,,2126150000020,26-0047,2024-002104-00,,1134 BENNETT ST,,,5749.98,113746.0,Redeemed,TAXDEED,https://www.leon.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511984&bypassPage=1,http://www.leonpa.org/pt/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=2126150000020,,www.leon.realtaxdeed.com,2026-08-19T14:07:50+00:00
